PeakID (cmd=annotatePeaks.pl MYC_Cluster4_peaks.bed hg38 -d MYC_VEH_TagDir)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type	MYC_VEH_TagDir Tag Count in given bp (58211597.5 Total, normalization factor = 0.17, effective total = 10000000)
1	chr12	56687544	56688926	+	364.4	NA	promoter-TSS (NR_104219)	promoter-TSS (NR_104219)	49	NM_006601	10728		NM_006601	ENSG00000110958	PTGES3	P23|TEBP|cPGES	prostaglandin E synthase 3	protein-coding	364.10
1-2	chr17	61862728	61864110	+	349.2	NA	5' UTR (NM_032043, exon 1 of 20)	5' UTR (NM_032043, exon 1 of 20)	109	NM_032043	83990		NM_032043	ENSG00000136492	BRIP1	BACH1|FANCJ|OF	BRCA1 interacting helicase 1	protein-coding	349.16
1-3	chr12	109097335	109098717	+	340.6	NA	promoter-TSS (NM_003362)	promoter-TSS (NM_003362)	-146	NM_003362	7374		NM_003362	ENSG00000076248	UNG	DGU|HIGM4|HIGM5|UDG|UNG1|UNG15|UNG2	uracil DNA glycosylase	protein-coding	340.57
1-4	chr21	33541790	33543172	+	315.4	NA	promoter-TSS (NM_175085)	promoter-TSS (NM_175085)	-364	NM_175085	2618		NM_000819	ENSG00000159131	GART	AIRS|GARS|GARTF|PAIS|PGFT|PRGS	phosphoribosylglycinamide formyltransferase, phosphoribosylglycinamide synthetase, phosphoribosylaminoimidazole synthetase	protein-coding	315.32
1-5	chr8	94895209	94896591	+	267.8	NA	promoter-TSS (NM_057749)	promoter-TSS (NM_057749)	101	NR_148903	137682		NM_152416	ENSG00000156170	NDUFAF6	C8orf38|FRTS5|MC1DN17	NADH:ubiquinone oxidoreductase complex assembly factor 6	protein-coding	267.73
1-6	chr12	56724545	56725927	+	250.7	NA	promoter-TSS (NM_001113203)	promoter-TSS (NM_001113203)	63	NM_001320194	4666		NM_005594	ENSG00000196531	NACA	HSD48|NAC-alpha|NACA1|skNAC	nascent polypeptide associated complex subunit alpha	protein-coding	250.72
1-7	chr9	96417927	96419309	+	250.1	NA	promoter-TSS (NM_153695)	promoter-TSS (NM_153695)	-248	NM_153695	195828		NM_153695	ENSG00000165244	ZNF367	AFF29|CDC14B|ZFF29	zinc finger protein 367	protein-coding	250.12
1-8	chr3	127597745	127599127	+	237.5	NA	promoter-TSS (NM_001353007)	promoter-TSS (NM_001353007)	25	NR_073375	4171		NM_004526	ENSG00000073111	MCM2	BM28|CCNL1|CDCL1|D3S3194|DFNA70|MITOTIN|cdc19	minichromosome maintenance complex component 2	protein-coding	237.50
1-9	chr2	61887897	61889279	+	228.7	NA	promoter-TSS (NM_001256721)	promoter-TSS (NM_001256721)	68	NM_006430	10575		NM_006430	ENSG00000115484	CCT4	CCT-DELTA|Cctd|SRB	chaperonin containing TCP1 subunit 4	protein-coding	228.73
1-10	chr2	135875505	135876887	+	227.1	NA	intron (NM_005915, intron 1 of 16)	CpG	247	NM_005915	4175		NM_005915	ENSG00000076003	MCM6	MCG40308|Mis5|P105MCM	minichromosome maintenance complex component 6	protein-coding	227.10
